dominant_topic;topic_perc_contribution;topic_Keywords;clean_review;original_review;polarity_score
Topic 1;0.66;ride, bug, guest, path, work, break, people, money, issue, campaign;['buy', 'release', 'fun', 'litter', 'bug', 'include', 'break', 'break', 'goal', 'scenario', '', 'goal', 'thrill', 'ride', 'stop', 'count', 'complete', 'turn', 'break', 'work', 'restart', '', 'break', 'mission', 'scenario', '', 'need', '', 'special', 'hook', '', 'different', 'roller_coasters', 'recognize', 'continue', '', '', 'matter', 'need', 'complete', 'goal', 'beat', 'scenario', 'need', '', 'scenario', 'able', 'play', 'scenario', 'say', 'buy', 'embarrassed', 'pay', 'money', 'price', 'money', 'creator', 'fun', 'work', 'type', 'game', '', 'look', 'year'];"Just don't buy this game. It shouldn't have been released at all. It's fun and all but littered with bugs, including game breaking. 
First game breaking was a goal in scenario 2, goal to get 7 thrill rides, it stopped counting at 5 so couldn't complete. Well turns out it wasn't game breaking, it worked with a restart of the game. 
Second game breaking was a mission in scenario 3, you need to put two special ""hooks"" on two different roller coasters, the game does not recognize it, so I can't continue the scenario or any other scenario for that matter, since you need to complete all goals to beat a scenario, and you need to beat a scenario to be able to play next scenario. 

As I said, just don't buy this game. I'm embarrassed I paid money, full price money, to these creators. 
It's great fun and all, but doesn't work. If you like these type of games, maybe look again in a year or so.";-0.012755102040816304
Topic 1;0.34;ride, bug, guest, path, work, break, people, money, issue, campaign;['', 'end', 'give', 'start', 'blue', 'screen', '', 'desktop', 'crash', 'yike', 'fun', '', 'unstable', 'deal', 'path', '', 'dangerous', 'path', 'look', 'functional', '', 'break', 'park', 'guest', 'use', 'example', 'lot', 'complaint', 'long', 'line', 'queue', 'able', 'access', 'ride', '', 'serviceable', 'path', 'appearance', 'crash', 'desktop', '', '', 'feel', 'buggy', 'know', 'shut', 'time', 'realize', 'cause', 'problem', 'sort', 'feel', 'roll', 'dice', 'play', 'lol', 'idk', '', 'cool', 'work', '', 'tutorial', 'play', '', 'comprehensive', '', 'excited', 'play', 'complicate', 'planet_coaster', 'fun', 'think', '', 'run'];"EDIT: Ended up giving up because I started to get blue screens instead of just desktop crashes. Yikes! 

This game is fun but seriously unstable. Dealing with paths is a pretty dangerous game because the path might look functional but it could be totally broken (park guests won't use it, for example). Lots of complaints about long lines when queues aren't full, not being able to access rides with perfectly serviceable paths (at least in appearance). The game also crashes to desktop fairly regularly. It doesn't FEEL that buggy but then I know that it could shut off any time without me even realizing what is causing the problem and it sort of feels like you're rolling the dice when you're playing lol. IDK. Definitely seems like it could be cool when it's working. 

One of the better tutorials I've played in a game before, pretty comprehensive. I was really excited to play something less complicated than Planet Coaster but still fun. It can be that, I think. It felt like it, when it was running.";0.04099999999999998
Topic 1;0.38;ride, bug, guest, path, work, break, people, money, issue, campaign;['charm', 'unreal', 'impossible', 'music', '', 'sweet', 'character', 'ride', 'fun', '', 'animate', 'yea', 'bug', 'tbh', 'solve', 'remake', 'coaster', 'forgive', 'shortcoming', '', 'nice', 'taking', 'shape', 'kinda', 'remind', 'night', 'term', 'impossifie', 'ride', '', 'suppose', 'say', 'lol', 'thing', 'say', 'hard', 'park', 'profitable', 'campaign', '', 'harsh', 'turning', 'ride', 'bring', 'people', 'second', 'campaign', 'level', '', 'worth', 'say', 'make', 'mind'];"I have to recommend this game.
It has so much charm its unreal.. even impossible...
The music is really sweet, the characters are great and the rides are fun and beautifully animated.

Yea, there are some bugs but tbh, I haven't found anything that I can't solve my remaking that coaster and I can forgive it its shortcomings because its really nice to see it all taking shape. 
It kinda reminds me of Nights in terms of the impossified rides (though probably not supposed to say that lol :P) .

The only thing I would say is that its hard to keep the park profitable in the campaign and you have to be pretty harsh turning off rides that don't bring people in. (only on the second campaign level so far).

Worth a go I'd say to make up your own mind but that's my 2c. :)
";0.2420833333333333
Topic 1;0.86;ride, bug, guest, path, work, break, people, money, issue, campaign;['update', 'positive', 'review', '', 'wrong', 'play', 'bug', 'bug', 'tie', 'people', 'park', 'good', 'luck', '', 'ignore', 'positive', 'review', 'positive_review', 'play', '', 'break', 'test', 'bug', 'come', 'customer', 'stick', '', 'ride', 'unable', 'make', 'purchase', 'ride', '', 'ride', 'look', 'customer', 'opinion', 'say', 'line', 'move', 'line', 'delete', 'ride', '', 'bunch', 'people', '', 'appear', 'exit', 'instance', 'people', 'ride', 'ride', '', 'camera', 'point', 'ride', 'notice', 'time', 'customer', 'screen', 'lock', 'place', 'move', 'point', 'camera', 'second', '', 'start', 'walk', 'buy', 'update', 'take', 'previous', 'review', 'encounter', 'new', 'breaking_bugs', 'quit', 'playing', 'load', '', 'come', 'park', 'lose', 'money', 'reason', 'people', 'stop', 'ride', 'ride', '', 'stop', 'visit', 'shop', 'line', 'block', 'flat_rides', 'impossify', 'people', 'stop', 'ride', 'vortex', 'glider', 'cowboy', 'hat', 'ride', 'pinball', 'bumper', 'car', 'negative', 'impossify', 'idea', 'roller_coasters', 'worthless', '', 'second', 'line', 'second', 'come', 'minute', '', 'line', 'making_money', 'go', 'deep', 'red', '', 'reason', 'want', 'second', 'positive_review', 'decide', 'prove', 'wrong', 'bunch', 'new', '', '', ''];"Updated again:

The positive reviews are just plain wrong. Either they haven't played the game enough to see the bugs (since the bugs seem mostly tied to how many people are in your park) or have the best luck ever. If you are wise, ignore the positive reviews. Even I had a positive review for a while because I hadn't played enough for the game to be straight up broken. From my tests, a lot of the bugs seem to come from customers being stuck inside rides or unable to make purchases. I had a few rides that no one would ride and when I looked at customers opinions it said ""Line is full moving on"" even though the line was empty. After deleting the ride suddenly a bunch of people magically appeared at the exit. In other instances people won't ride a ride unless you have the camera pointed at the ride. I noticed several times that customers off screen were locked in place not moving and once you point the camera at them for a second or two they start walking/buying/etc again.

Updated:

I'm taking back my previous review because I have encountered new game breaking bugs. If I quit playing and load a save I come back the park losing money for no reason. People stop riding rides that were previously full and stop visiting shops that had a line around the block. Also, there are a few flat rides that when you ""impossify"" them, people stop riding them. The Vortex Glider, Cowboy Hat ride, and the Pinball Bumper Cars all go in the negative when I ""impossify"" them. I have no idea why, they just do. Also, Roller Coasters are worthless! One second the line is full the next second nothing. You come back a few minutes later the line is full again? They go from making a lot of money to going deep in the red and back again for seemingly no reason what so ever. I want to love this game but the second I give the game a positive review it decides to prove me wrong and a bunch of new bugs surface. Wtf!?";-0.010832720738381115
Topic 1;0.25;ride, bug, guest, path, work, break, people, money, issue, campaign;[];It is great;0.8
Topic 1;0.49;ride, bug, guest, path, work, break, people, money, issue, campaign;['', 'positive_review', 'tipping', 'point', 'say', '', 'good', 'amusement', 'park', 'simulator', 'market', 'hit', 'bricke', 'bug', 'favorite', 'decide', 'freeze', 'shop', 'make', 'sale', 'guest', 'line', 'wait', 'spend', 'dime', 'park', 'come', 'fail', 'debt', 'guest', 'stick', 'make', 'purchase', 'exciting', 'bug', 'park', 'guest', '', '', 'say', '', 'guest', 'freeze', 'income', 'guest', 'purchase', 'admission', 'ticket', '', 'patch', 'dev', 'team', 'positive_review'];Its hard to give this game a positive review. Its just on that tipping point where i would say its one of the best Amusement park simulators on the market but then you get hit with a game bricking bug. My favorite is when your game decides to freeze all your shops from making any sales, the guest will line up in and wait but never spend a dime all while your park comes to a fail when your in debt because your guest are just stuck and not making purchases. another exciting bug is when you have a park full of guests yet your park counter says you have 1 guest freezing all income from guests purchasing admission tickets. Maybe after a few patches from the dev team this game can get a positive review but not yet.;0.0009906759906759843
Topic 1;0.72;ride, bug, guest, path, work, break, people, money, issue, campaign;['session', 'sit', 'play', 'stupid', 'happen', 'impede', 'progress', '', 'moment', 'structure', 'able', 'moment', 'lose', 'money', '', 'plentiful', 'people', 'buy', 'moment', 'roller_coaster', 'get', 'bug', 'people', 'let', 'people', 'try', 'grip', 'fiddly', 'modular', 'customisation', 'feature', 'take', '', '', 'aught', '', 'simple', 'people', 'seek', 'souvenir', '', 'walk', 'past', 'ignore', 'souvenir', 'shop', 'sight', 'replace', 'roller_coaster', 'notice', 'stutter', 'move', 'get', 'frustrated', 'point', 'want', 'play', 'fun', 'half', 'time', 'play', 'half', 'time', 'try', 'figure', 'work', '', 'ridiculous'];I just can't seem to have a session where I can sit down and play without something stupid happening that impedes my progress again and again and again. One moment I can't move my structures around any more, where as before I was able to. The next moment something is losing me money despite there being plentiful amount of people buying from it. Then the next moment my roller-coaster gets bugged and the people won't get off to let the other people on. Then I'm trying to get to grips with the fiddly modular customisation feature that takes me way longer that it aught to, to do something really simple.  Then people who are seeking souvenirs completely walk past and ignore every souvenir shop in sight. Then after replacing the roller-coaster I notice that it stutters when it moves and I find myself getting more and more frustrated to the point where I don't even want to play it any more because I'm not having fun. Half the time I'm playing and the other half of the time I'm trying to figure out why something isn't working properly. Ridiculous.;0.004093567251461994
Topic 1;0.41;ride, bug, guest, path, work, break, people, money, issue, campaign;['promise', '', 'hit', 'mark', 'idea', 'cool', 'gameplay', 'enjoyable', 'issue', 'address', '', 'make', 'profit', '', 'ride', 'fail', 'rider', 'real', 'indication', 'ride', 'flat', 'make', 'loss', 'utilisation', 'set', 'price', 'high', 'make', 'people', 'complain', 'path', 'buggy', 'connect', '', 'connect', 'pathway', 'result', 'entrance', 'place', 'middle', 'path', 'transport', 'ride', 'set', 'roller_coaster', 'transport', 'mode', 'option', 'multiple', 'train', 'mean', 'guest', 'wait', 'circuit', 'board'];Has a lot of promise but doesn't quite hit the mark. The idea is cool and the gameplay would be enjoyable if a few issues were addressed. Seems very hard to make a profit later on in the game, some rides just fail to get riders with no real in-game indication why that might be. Some rides just flat out make a loss while being at full utilisation and set at a price just high enough to make some people complain. Paths seem very buggy sometimes and don't connect properly with the connecting pathway, sometimes resulting in an entrance being placed in the middle of a path! No transport rides, you have to set a roller-coaster to transport mode, but there's also no option for multiple trains, meaning that guests have to wait a full circuit to board.;0.01799019607843136
Topic 1;0.43;ride, bug, guest, path, work, break, people, money, issue, campaign;['cool', 'thing', 'park', 'ridiculous', '', 'unrealistic', 'ride', 'let', 'shoot', 'roller_coaster', 'train', 'air', 'cannon', 'woo', 'bite', 'clunky', 'path', 'click', '', 'coaster', 'get', 'use', 'deal', 'reach', 'point', 'hour', 'investment', 'park', 'stop', 'work', 'guest', 'freeze', 'ride', 'freeze', 'part', 'park', '', 'unvisited', 'prosperous', 'park', 'slide', 'scale', 'debt', 'ridden', 'oblivion', 'break', 'enjoyment', 'sapping', 'sale', ''];"The cool thing about Park Beyond is the ridiculous and deliberately unrealistic rides.  Let's shoot a roller coaster train through the air out of a cannon! Woo!

It's a bit clunky at first, paths sometimes click together awfully and the coasters take some getting used to, but you can just about deal with it.

But then you reach a point, after hours of investment in a park where everything just stops working,  Guests freeze, rides freeze, parts of your park go completely unvisited; your prosperous park slides off the scale into debt-ridden oblivion.  These are game breaking and enjoyment sapping.  I cannot recommend this, even on sale, which this will be soon.";-0.25922619047619044
Topic 1;0.64;ride, bug, guest, path, work, break, people, money, issue, campaign;['buggy', 'unplayable', 'lot', 'bug', '', 'decrease', 'enjoyment', 'path', 'render', 'weird', 'add', 'make', 'unplayable', 'bug', 'make', 'customer', '', 'unable', 'reach', 'ride', 'stick', '', 'spot', 'ride', 'meet', 'requirement', '', 'stop', 'work', '', 'ride', 'open', 'customer', 'ride', 'close', 'reopen', 'ride', 'work', 'little', '', '', 'ride', 'want', '', '', 'level', 'campaign', 'park', 'people', 'stop', 'come', 'park', '', 'reach', 'ride', 'believe', 'spend', 'quid'];"so buggy it's unplayable. there are lots of bugs that just marginally decrease enjoyment of the game like paths are rendered weird, but all of them added together make this game unplayable. 

there are bugs that make customers suddenly unable to reach rides, or they get stuck in one spot. Rides that meet all requirements can suddenly stop working entirely - the ride will be 'open' but customers can't get on the rides. You have to close and reopen the ride to get it working for a little while again, but you'll probably have to do this again soon for all your rides.

I wanted to like this game so badly. I got through a few levels on the campaign, but in my last park people just stopped coming into the park because they inexplicably 'couldn't reach any rides'. can't believe i spent 65 quid on this.";-0.2992187499999999
Topic 1;0.32;ride, bug, guest, path, work, break, people, money, issue, campaign;['want', '', 'choice', 'mechanic', 'campaign', 'mode', 'impossification', 'fun', 'mechanic', 'management', 'option', 'flesh', 'messy', 'breaking_bugs', 'think', '', 'wonderful', 'pathing', 'atrocious', 'complete', 'campaign', 'thing', 'interested', 'playing', 'register', 'complete', 'milestone', 'challenge'];I want to like this game SO badly. The choice mechanics for the campaign mode and impossification are such fun mechanics but the management options aren't very fleshed out and the game has so many messy and game breaking bugs. I think the skeleton is there for something wonderful, but the pathing is atrocious and I can't complete the campaign (the only thing I'm interested in playing) because it's not registering when I complete milestone challenges.;-0.023333333333333338
Topic 1;0.67;ride, bug, guest, path, work, break, people, money, issue, campaign;['buggy', 'mess', 'breaking_bugs', 'prevent', 'pass', 'level', 'restart', 'level', 'time', 'time', 'bug', 'prevent', 'pass', 'example', 'objective', 'impossify', '', 'ride', 'tell', 'remain', 'impossifye', '', 'make', 'roller_coaster', 'go', 'cave', 'recognize', 'avoid', '', 'go', 'long', 'time'];"A buggy mess.

Game breaking bugs which prevent passing the level. I've restarted the same level now 8 times and every time some bug prevents me from passing it. 
For example, objective is to impossify 1 ride, but the game tells me there's ""9 remaining"" after impossifying one. OR. Make a roller coaster that goes into a cave - well it does that now, but game won't recognize it. Nothing I can do about it.

Avoid until it's fixed, and that is going to take a long time.";-0.165625
Topic 1;0.61;ride, bug, guest, path, work, break, people, money, issue, campaign;['', 'complete', 'mess', 'embarrassment', '', 'work', 'ride', 'get', 'use', 'path', 'allow', 'guest', 'walk', 'bad', 'path', 'see', 'roller_coasters', 'bleed', 'money', 'prefab', 'one', 'grid', 'awful', '', 's', 'bad', '', 'test', 'release', 'devs', 'ashamed', 'release', 'state', '', 'issue', 'future', 'need', 'month', 'easy', '', 'release'];"Sadly a complete mess of a game, an embarrassment even. This game simply doesn't work, none of it. 
From rides not getting used, paths not allowing guests to walk along (also the worst path system I have seen in a game like this), roller-coasters do nothing but bleed money (even the prefab ones), the grid system is just awful..I could go on.
Whats worse is, this was clearly NOT tested before release and if it was then the devs should be ashamed for releasing it in  this state, because beneath all the issues there is a good game here which could have a good future but it need another few months easy of polish before being released..";-0.0994444444444444
Topic 1;0.61;ride, bug, guest, path, work, break, people, money, issue, campaign;['', 'bug', 'mess', 'fix', 'sight', 'devs', 'focusse', 'dlc', 'season', 'pass', 'constant', 'crash', 'frame', 'drop', '', 'broken', 'pathfinde', 'result', 'ride', 'coaster', 'work', 'unable', 'maintain', 'visitor', 'get', 'stuck', 'leave', 'unhappy', 'work', '', 'unfixable', 'issue', 'rediculous', 'ship', 'unplayable', 'state', 'bothering', '', 'invest', 'resource', 'fix', '', 'unforgivable', 'mistake', 'request', 'refund', 'take', 'hour', 'try', '', 'work', 'success'];"It's a completely bugged mess with no fixes in sight (Devs are focussed on DLC and already have a season pass...)

Constant crashes, frame drops and most of all COMPLETELY BROKEN PATHFINDING. This results in rides/coasters not working due to being unable to be maintained, visitors getting stuck and leaving unhappy etc etc etc
Even if you get it to work for a while, eventually it will become an unfixable issue.

It's rediculous to ship a game in this unplayable state and not even bothering to actually invest 100% of resources to fix this nearly unforgivable mistake.

I requested a refund, even though it took me hours to try and somehow actually get it working - without success.";-0.11428571428571428
